node_id,goal_id,heuristic_value,true_remaining_cost,delta,admissible
4921885917,5564620678,32157.87703323761,60659.67991430467,-28501.802881067055,True
2462647819,5564620678,46155.494418779555,79464.78771324392,-33309.29329446436,True
3538725935,5564620678,49242.019449730986,87637.0351446055,-38395.01569487451,True
7773978561,5564620678,53304.54689617927,99919.7022733974,-46615.15537721813,True
6311306910,5564620678,8402.60916703995,14226.21830450374,-5823.609137463791,True
5648861405,5564620678,23947.258437369994,52628.116871705955,-28680.85843433596,True
9857325004,5564620678,83422.85533273245,123341.03918064135,-39918.183847908906,True
6175926868,5564620678,63314.93144411158,122750.02331264525,-59435.09186853367,True
7858289954,5564620678,49272.752677979835,98280.69272432075,-49007.94004634091,True
5608794991,5564620678,36552.27182472053,76149.4798802959,-39597.20805557537,True
5181367720,5564620678,80400.11818455566,139979.41178966794,-59579.29360511228,True
5002821324,5564620678,51560.69506250006,100571.94598203001,-49011.25091952995,True
7858277194,5564620678,59319.32966503746,153675.73847368584,-94356.40880864838,True
12027192505,5564620678,56793.802305819365,107045.50943609307,-50251.7071302737,True
5645487608,5564620678,27817.699430139575,58153.74670261024,-30336.047272470663,True
5636512397,5564620678,24361.08372636186,53665.70623907221,-29304.622512710353,True
10803426380,5564620678,33963.19952939093,74229.9402900571,-40266.74076066617,True
5613263265,5564620678,28888.17248812503,53529.82410316948,-24641.651615044448,True
6155660027,5564620678,44384.87582545887,85907.6697302783,-41522.79390481943,True
9949651922,5564620678,41693.64910925063,82293.53640411547,-40599.887294864835,True
6038832104,5564620678,153256.18890477798,432260.16724551807,-279003.9783407401,True
10567616907,5564620678,22892.884944347068,40493.25738071024,-17600.37243636317,True
4876115840,5564620678,49414.619316094344,88434.12772288431,-39019.508406789966,True
5629881498,5564620678,25942.352832965265,53252.5242736571,-27310.171440691836,True
4961567042,5564620678,23246.23521105315,44075.21131847776,-20828.976107424613,True
5604061484,5564620678,29992.670246605085,57532.256464723636,-27539.58621811855,True
9894531911,5564620678,23700.650471449644,49374.14265911745,-25673.49218766781,True
7858284006,5564620678,53843.73364577732,109330.65956955148,-55486.925923774164,True
2481992084,5564620678,98562.73468220154,163618.25605655587,-65055.52137435433,True
4873971275,5564620678,47680.7483950064,92283.33543241919,-44602.58703741279,True
4907026632,5564620678,29767.303765447443,47497.98348943661,-17730.679723989164,True
7858280064,5564620678,72790.94920689582,123408.43855708631,-50617.48935019049,True
4950251120,5564620678,34059.75585564286,65226.48446717444,-31166.72861153158,True
10312568119,5564620678,61884.07153161815,118444.50169396182,-56560.43016234367,True
2398680009,5564620678,27302.9321465128,46672.27506228791,-19369.34291577511,True
11583815074,5564620678,45245.86587134938,89051.8765693139,-43806.01069796452,True
5092897055,5564620678,46325.13997891256,83635.74580711983,-37310.60582820728,True
10026631269,5564620678,44180.26118098847,72979.07763401364,-28798.816453025167,True
5624389992,5564620678,33151.13651189768,57561.02503057653,-24409.888518678847,True
4639148286,5564620678,115205.41706129785,331876.8829314839,-216671.46587018605,True
12361309493,5564620678,68266.22868556045,118760.82100073832,-50494.59231517787,True
2406085598,5564620678,177758.14108665878,341681.50281131186,-163923.36172465308,True
5628393699,5564620678,25730.852488559347,56816.32249031698,-31085.470001757636,True
5759737823,5564620678,129634.47845482058,238912.9211933096,-109278.44273848902,True
12718287744,5564620678,21212.101497496573,50997.33196760076,-29785.230470104187,True
5666170545,5564620678,57901.49115052369,101723.64552527863,-43822.15437475494,True
7283363397,5564620678,45789.819566605765,87580.9970926123,-41791.17752600654,True
2451398385,5564620678,41209.55505338911,76775.25148489374,-35565.696431504635,True
3489487680,5564620678,37618.46074550255,70774.95272826904,-33156.49198276649,True
349638827,5564620678,54526.11920902513,100199.90478684605,-45673.78557782092,True
9169375240,5564620678,80300.9559890372,135894.30690889445,-55593.35091985724,True
2449520732,5564620678,95499.6486271304,146487.33416159297,-50987.685534462566,True
10910009267,5564620678,59968.97938546079,109406.06062916658,-49437.08124370578,True
13135781236,5564620678,32516.942471754177,50787.56918849466,-18270.62671674048,True
3711548190,5564620678,28246.233618366936,57832.56668148941,-29586.33306312247,True
5010789500,5564620678,48865.83510676798,96244.89506000138,-47379.059953233394,True
4992105308,5564620678,64641.854529792516,110514.44945014383,-45872.594920351316,True
11708960865,5564620678,36537.36916236426,83985.08110679567,-47447.71194443141,True
4920056845,5564620678,33347.18384867126,66395.50156194782,-33048.31771327656,True
4375437519,5564620678,46915.9454599101,76014.98049114669,-29099.03503123659,True
5941938329,5564620678,153759.7053563547,310595.8301004516,-156836.1247440969,True
4607760915,5564620678,50939.67690737003,93052.76187630474,-42113.08496893471,True
5516615057,5564620678,49197.84023510739,94110.81553571014,-44912.975300602746,True
10046634979,5564620678,137629.9076937977,261110.555335274,-123480.6476414763,True
11432354729,5564620678,84756.23447201433,195975.67451284346,-111219.44004082913,True
6273818918,5564620678,71170.83523751723,145598.8092333811,-74427.97399586387,True
10024151056,5564620678,5346.9033533883685,9594.290661113111,-4247.387307724743,True
6155796158,5564620678,54617.01693224897,93574.27206299458,-38957.255130745616,True
12163534353,5564620678,30178.633448692053,50544.41078113962,-20365.777332447564,True
4611334467,5564620678,34822.79431139227,63728.15816515277,-28905.3638537605,True
12363570500,5564620678,44627.04225371452,80131.82076345188,-35504.778509737356,True
3270180508,5564620678,43925.53624238766,76081.8908848059,-32156.35464241825,True
5665316336,5564620678,35624.0661040251,65165.195016477825,-29541.128912452725,True
5647961560,5564620678,83864.65257234256,144178.40469823926,-60313.7521258967,True
382016465,5564620678,42516.28592207439,68120.59385394114,-25604.30793186675,True
13112634246,5564620678,40728.389010327766,68453.73215056048,-27725.34314023271,True
6162936464,5564620678,60527.61347393552,112244.83243612295,-51717.21896218743,True
7858286640,5564620678,52337.97466464073,98698.53316785328,-46360.55850321255,True
6052339966,5564620678,60198.03958504086,97753.89432438245,-37555.85473934159,True
6541094668,5564620678,13623.698734242334,25681.414031532113,-12057.715297289778,True
5104622831,5564620678,46940.492386228616,90235.61633342128,-43295.12394719266,True
5010789426,5564620678,51575.83387339746,95829.55023667429,-44253.71636327683,True
387817054,5564620678,50098.336047228695,79755.75912944361,-29657.42308221492,True
386046503,5564620678,36154.20516416314,62580.34785033151,-26426.142686168372,True
10124277869,5564620678,133249.39302958534,391247.9649703051,-257998.57194071976,True
10142079162,5564620678,130897.88764775846,352771.0889715853,-221873.20132382686,True
9164622831,5564620678,104077.21087293846,152995.55009371738,-48918.339220778915,True
4483800563,5564620678,35541.718476459595,65904.71656426904,-30362.998087809443,True
7858289543,5564620678,55411.408026806486,108849.92969206926,-53438.52166526277,True
5096861678,5564620678,49907.76741964488,92150.2615038269,-42242.49408418202,True
5000994829,5564620678,13150.518920383574,32676.394844822426,-19525.87592443885,True
387097313,5564620678,58531.872091370766,78878.84744779437,-20346.9753564236,True
9936121586,5564620678,27047.337010321706,58643.15570359198,-31595.818693270277,True
5658169081,5564620678,24053.70413761729,53488.50757334863,-29434.80343573134,True
10139575490,5564620678,48647.7340992643,72722.31262287738,-24074.578523613076,True
4656355907,5564620678,138805.6136040356,241093.1082430874,-102287.49463905179,True
123039469,5564620678,64821.92573859419,88528.65232254425,-23706.72658395006,True
6057462522,5564620678,13936.809727382037,28044.124818614684,-14107.315091232647,True
4647810811,5564620678,46700.075812876625,82454.50435857827,-35754.428545701645,True
6796334928,5564620678,104116.08500021209,139489.41359632148,-35373.32859610939,True
9819987129,5564620678,38293.31677762373,66657.78558660054,-28364.46880897681,True
7876443756,5564620678,40381.80941921797,74161.6317094951,-33779.82229027712,True
4912273224,5564620678,31222.473594708183,60756.0330334526,-29533.559438744418,True
6275789214,5564620678,75769.83954279305,146529.89689587225,-70760.0573530792,True
2428755354,5564620678,73614.1603528727,131327.75571806103,-57713.59536518833,True
10175809112,5564620678,85290.24160859628,161388.83694843913,-76098.59533984285,True
7876522328,5564620678,59819.1810117655,110027.7238645091,-50208.5428527436,True
7124138559,5564620678,31548.25796757202,57390.19118766942,-25841.933220097402,True
4875959458,5564620678,50632.0137871135,91233.46841715717,-40601.45463004367,True
6119719710,5564620678,64997.8943380472,109404.62829576877,-44406.73395772157,True
5065470118,5564620678,68879.8167610371,95406.98282136674,-26527.166060329633,True
5628016438,5564620678,26329.30080111666,59189.19149550299,-32859.89069438633,True
4876099077,5564620678,51193.57068409619,90368.18578860321,-39174.61510450702,True
4364183843,5564620678,42400.51224615557,73710.68235869698,-31310.17011254141,True
7858277893,5564620678,55466.70756146883,117807.07836089088,-62340.37079942205,True
5647420479,5564620678,27166.651160405632,60048.676438457085,-32882.02527805146,True
9801117459,5564620678,100937.95870160832,185005.04609068524,-84067.08738907691,True
9169020070,5564620678,80984.30323075897,138199.68179901555,-57215.37856825658,True
5603858773,5564620678,35145.19713532926,56299.97170932163,-21154.77457399237,True
642577057,5564620678,40685.782992317065,71636.0950849089,-30950.312092591834,True
5647961478,5564620678,78287.80925257277,143895.19711734127,-65607.3878647685,True
9934168540,5564620678,34706.28912558404,68392.40126255136,-33686.11213696732,True
2661431432,5564620678,55195.8117192822,79263.30841068816,-24067.496691405955,True
5608467981,5564620678,40097.697992484114,82122.25732179638,-42024.559329312266,True
9785737926,5564620678,62555.37989529039,116103.93777545345,-53548.55788016306,True
4882964616,5564620678,50937.25183742145,86654.85342535435,-35717.6015879329,True
7840775952,5564620678,22393.21937083299,52364.85167367213,-29971.632302839138,True
2450063630,5564620678,44041.18705127393,72965.68465741802,-28924.49760614409,True
3306234624,5564620678,43567.4895494175,75885.70033738801,-32318.210787970515,True
6646437732,5564620678,54338.29239037357,107980.75395329307,-53642.461562919496,True
7676118479,5564620678,28313.157553071676,49224.46737165588,-20911.309818584206,True
1688446263,5564620678,44119.32914857869,73372.24730571956,-29252.91815714087,True
12870718928,5564620678,21362.339112572095,38851.583341659665,-17489.24422908757,True
5007324396,5564620678,53143.29731964849,94631.13401528983,-41487.836695641345,True
7858279019,5564620678,68987.44033659819,124245.07389070094,-55257.63355410275,True
2426376181,5564620678,43344.0519293358,81056.51852559258,-37712.466596256774,True
