u,v,goal_id,h_u,h_v,edge_cost,residual,consistent
7656849921,2626553087,4594175828,108666.61491336775,115171.28396798365,3044.6318783781526,-9549.30093299404,True
6163052668,6163052839,4594175828,183891.8822438237,182820.0803539683,385.06298003100704,686.738909824373,False
4961511923,4961505117,4594175828,158630.40302067978,155714.14519734724,123.85104557561145,2792.406777756929,False
366218436,6797127158,4594175828,192741.50060499992,189819.5243740433,1661.2690723742905,1260.7071585823142,False
4910327917,5618095254,4594175828,167551.02654055005,164988.52038948447,483.47681302790687,2079.0293380376825,False
10064421674,10068005241,4594175828,138030.21889516007,143503.95169733025,423.5071975599885,-5897.239999730169,True
9685866069,3867581377,4594175828,280021.8644324354,265185.640235796,919.9197719278334,13916.30442471162,False
5653172894,6804602917,4594175828,157402.15525869088,164226.40528364995,1494.873806255929,-8319.123831214994,True
4453230162,2810656837,4594175828,368739.12789230776,385734.58219994954,7972.654728899114,-24968.109036540904,True
4910651925,4910543906,4594175828,160637.28059696488,152597.392613182,119.04090978252773,7920.847074000369,False
5630179843,5630216698,4594175828,144967.1614324515,141998.8763578273,98.02696713416677,2870.2581074900227,False
5606242994,5606243663,4594175828,168903.34569036803,176778.86991590343,183.74575132534582,-8059.269976860727,True
4992877201,4992877202,4594175828,190885.07212632013,174400.9035258453,217.1476470138033,16267.020953461033,False
7673155083,5428790955,4594175828,138758.09143744904,148686.47646824268,82.67350610258292,-10011.05853689622,True
9808263767,9808263742,4594175828,126295.54119272759,123724.49985239275,3646.2977060416993,-1075.2563657068677,True
5666373625,5666373624,4594175828,155504.5034417122,152519.18537521642,243.76074742371753,2741.557319072075,False
6149128398,6149128429,4594175828,168664.3165433714,160751.8246061611,661.3156786939744,7251.176258516323,False
387428366,4883241946,4594175828,166642.58470300454,174264.83287705353,126.10607589751794,-7748.354249946511,True
4316685618,2426199675,4594175828,171510.75884196605,170118.55333911578,136.79638950353473,1255.4091133467446,False
61742274,6294134629,4594175828,159010.17640055687,176100.32637743998,124.178021995687,-17214.327998878813,True
6311306834,9970727904,4594175828,129179.5547133497,138948.62750209073,333.16187995314317,-10102.234668694175,True
9785968034,9785968029,4594175828,205706.5435501683,210228.09062306356,149.5866422267756,-4671.133715122036,True
9167448312,9167448309,4594175828,48533.02961842839,50188.37352063946,139.29202980571475,-1794.6359320167903,True
8510265492,8510265488,4594175828,171364.52407128428,171295.43446838652,164.10360465820517,-95.01400176045718,True
9965300778,9965300733,4594175828,91124.67641377138,90656.60863908143,3077.805716721858,-2609.7379420319194,True
3010333099,4923847395,4594175828,142979.5361931385,143811.13498791622,73.09101516208575,-904.6898099397949,True
10692410036,10694926267,4594175828,138916.01485474233,138121.0940140463,45.651614246735384,749.2692264492798,False
6589803766,6589803744,4594175828,84339.04755645726,85746.5868845709,1463.1894632078584,-2870.7287913215114,True
7858280605,7858283201,4594175828,199471.57940532628,198402.1461097794,392.1250030934155,677.3082924534683,False
3770244505,4474802623,4594175828,165015.90608603708,165096.10350988165,10.041425006529652,-90.23884885109146,True
4023185032,374144978,4594175828,157451.96714334315,173431.66621163816,217.08755367318344,-16196.786621968204,True
4655364343,4655364348,4594175828,253196.36201105313,256649.6341265869,71.93351326950227,-3525.205628803262,True
4910200261,3448171560,4594175828,151265.46546558855,152739.89634992703,73.97802731923055,-1548.4089116577234,True
10009255362,12384284066,4594175828,206316.08786115082,198390.25213127394,1160.8645251980568,6764.971204678819,False
5783735837,5783735838,4594175828,156144.13449225272,161727.98717594886,124.67402563625822,-5708.526709332393,True
5624389943,5624389940,4594175828,161610.42326363802,149266.55579064772,321.6188553766991,12022.2486176136,False
9169059590,9169059612,4594175828,51257.725050878485,48394.45828752782,122.15541097127722,2741.11135237939,False
3653330525,3370462114,4594175828,184743.44585717045,188091.79730439011,54.384994635210575,-3402.7364418548823,True
5863895110,5863895112,4594175828,82124.2734970105,74846.45542641195,78.87905216662273,7198.93901843192,False
6189580722,6189580728,4594175828,155464.73199358047,165784.84529342604,177.00508362679858,-10497.118383472378,True
4991679140,4991679144,4594175828,136517.33254249452,136377.5962088128,61.22034792838937,78.515985753329,False
3923956133,5659851351,4594175828,229990.71425608106,221731.27038550665,1359.30968037281,6900.134190201614,False
7653198102,7653198090,4594175828,250591.00900783465,238358.57036893698,70.72019801392491,12161.718440883735,False
5651787116,5651787626,4594175828,193866.7436839983,201438.1267339514,730.2045584836769,-8301.587608436763,True
10053550200,1683090870,4594175828,152972.00678870094,147164.98681117923,88.49708951135071,5718.522888010368,False
5606447132,5606362494,4594175828,161755.66996169608,163625.99890176364,33.26905784939798,-1903.5979979169497,True
1623265363,7705685515,4594175828,183552.47901179377,178410.03424644985,9.784537620970479,5132.660227722954,False
5662781639,5662781637,4594175828,168599.71552842704,172006.9369657274,84.91146346431938,-3492.132900764671,True
5636472180,5645461744,4594175828,152380.3674703044,154851.8743071027,217.88276846994327,-2689.389605268254,True
2320154999,6263428544,4594175828,186607.02475427213,198706.12256535838,125.43942152855617,-12224.537232614792,True
5618512270,5618512278,4594175828,259994.39284965,245798.0442153096,612.4708937923497,13583.87774054805,False
5647379219,5647379200,4594175828,155560.82573035668,160163.0083923949,396.25538806879393,-4998.438050107012,True
9901389954,7483916366,4594175828,145047.81345625495,141229.9061348461,211.62265056694812,3606.2846708419092,False
4772513287,4772513286,4594175828,203438.22571703093,196190.55220750533,144.47182606996495,7103.201683455642,False
5004221132,5004374839,4594175828,140951.14469039146,143922.28666275923,61.35842114842254,-3032.5003935161803,True
3299264264,4963092760,4594175828,176997.10928618812,167582.15829291305,117.9939214624797,9296.95707181259,False
7465964619,11372688470,4594175828,128689.92416475149,108166.60839160634,314.9640376282488,20208.351735516902,False
4875959540,4872453112,4594175828,169009.0064720758,164749.56295932486,127.3329194473379,4132.1105933036015,False
10721607294,10721607293,4594175828,151905.9934634239,147361.35043554797,459.2831472931005,4085.359880582808,False
382022159,382022154,4594175828,165503.2828356166,171683.40668427377,227.71930472862726,-6407.843153385766,True
5010757709,5010756250,4594175828,209583.5043190407,179552.92189340494,153.76759035421443,29876.81483528152,False
